t,T_e,T_p
420.7070707070707,308.7439636702267,306.4929207835788
420.80808080808083,308.7421228787398,306.49308030055505
420.90909090909093,308.74028370423554,306.49323967651304
421.010101010101,308.73844614531976,306.4933989115765
421.1111111111111,308.7366102005997,306.49355800586886
421.2121212121212,308.7347758686843,306.49371695951345
421.3131313131313,308.7329431481839,306.49387577263343
421.4141414141414,308.7311120377106,306.4940344453519
421.5151515151515,308.7292825358778,306.49419297779167
421.6161616161616,308.7274546413007,306.4943513700755
421.7171717171717,308.725628352596,306.49450962232606
421.8181818181818,308.7238036683817,306.4946677346658
421.9191919191919,308.7219805872778,306.49482570721705
422.020202020202,308.7201591079055,306.494983540102
422.1212121212121,308.7183392288877,306.49514123344255
422.22222222222223,308.7165209488489,306.4952987873608
422.32323232323233,308.7147042664149,306.4954562019784
422.42424242424244,308.71288918021355,306.49561347741695
422.52525252525254,308.71107568887373,306.4957706137979
422.62626262626264,308.7092637910262,306.4959276112426
422.72727272727275,308.70745348530323,306.4960844698723
422.82828282828285,308.7056447703386,306.49624118980796
422.92929292929296,308.7038376447675,306.49639777117045
423.030303030303,308.702032107227,306.49655421408056
423.1313131313131,308.7002281563555,306.4967105186589
423.2323232323232,308.69842579079295,306.49686668502596
423.3333333333333,308.69662500918105,306.497022713302
423.4343434343434,308.6948258101628,306.4971786036072
423.5353535353535,308.69302819238294,306.4973343560617
423.6363636363636,308.69123215448775,306.4974899707853
423.73737373737373,308.689437695125,306.49764544789775
423.83838383838383,308.687644812944,306.4978007875187
423.93939393939394,308.68585350659566,306.49795598976766
424.04040404040404,308.6840637747326,306.4981110547638
424.14141414141415,308.6822756160087,306.4982659826265
424.24242424242425,308.68048902907964,306.4984207734746
424.34343434343435,308.67870401260245,306.49857542742706
424.44444444444446,308.67692056523595,306.49872994460276
424.54545454545456,308.6751386856403,306.4988843251201
424.64646464646466,308.6733583724774,306.4990385690977
424.74747474747477,308.67157962441064,306.4991926766538
424.8484848484849,308.66980244010483,306.49934664790663
424.949494949495,308.66802681822656,306.4995004829742
425.050505050505,308.66625275744383,306.4996541819744
425.1515151515151,308.66448025642626,306.499807745025
425.25252525252523,308.662709313845,306.49996117224356
425.35353535353534,308.6609399283728,306.50011446374765
425.45454545454544,308.6591720986839,306.5002676196545
425.55555555555554,308.65740582345416,306.50042064008124
425.65656565656565,308.6556411013609,306.50057352514506
425.75757575757575,308.6538779310832,306.50072627496274
425.85858585858585,308.6521163113014,306.50087888965106
425.95959595959596,308.6503562406977,306.5010313693266
426.06060606060606,308.6485977179556,306.5011837141059
426.16161616161617,308.6468407417604,306.5013359241052
426.26262626262627,308.6450853107988,306.5014879994407
426.3636363636364,308.643331423759,306.5016399402285
426.4646464646465,308.6415790793309,306.5017917465844
426.5656565656566,308.63982827620595,306.5019434186242
426.6666666666667,308.638079013077,306.5020949564635
426.7676767676768,308.63633128863876,306.5022463602178
426.8686868686869,308.63458510158716,306.5023976300023
426.969696969697,308.6328404506199,306.50254876593226
427.07070707070704,308.63109733443605,306.5026997681228
427.17171717171715,308.6293557517365,306.50285063668866
427.27272727272725,308.6276157012236,306.5030013717447
427.37373737373736,308.625877181601,306.50315197340547
427.47474747474746,308.62414019157427,306.5033024417854
427.57575757575756,308.62240472985036,306.5034527769989
427.67676767676767,308.62067079513787,306.5036029791602
427.77777777777777,308.61893838614674,306.5037530483831
427.8787878787879,308.61720750158884,306.5039029847817
427.979797979798,308.6154781401772,306.50405278846966
428.0808080808081,308.6137503006266,306.50420245956064
428.1818181818182,308.6120239816534,306.50435199816803
428.2828282828283,308.6102991819755,306.50450140440523
428.3838383838384,308.6085759003123,306.50465067838536
428.4848484848485,308.6068541353848,306.5047998202215
428.5858585858586,308.6051338859156,306.5049488300265
428.6868686868687,308.60341515062873,306.50509770791314
428.7878787878788,308.60169792824996,306.505246453994
428.8888888888889,308.5999822175064,306.5053950683816
428.989898989899,308.59826801712694,306.50554355118817
429.09090909090907,308.59655532584185,306.5056919025259
429.19191919191917,308.59484414238295,306.5058401225069
429.2929292929293,308.5931344654839,306.50598821124305
429.3939393939394,308.5914262938795,306.506136168846
429.4949494949495,308.5897196263065,306.50628399542745
429.5959595959596,308.5880144615029,306.5064316910989
429.6969696969697,308.5863107982084,306.5065792559716
429.7979797979798,308.5846086351643,306.50672669015665
429.8989898989899,308.5829079711133,306.50687399376517
430.0,308.5812088047998,306.50702116690815
430.1010101010101,308.5795111349698,306.50716820969615
430.2020202020202,308.57781496037063,306.5073151222399
430.3030303030303,308.5761202797514,306.5074619046498
430.4040404040404,308.5744270918627,306.5076085570362
430.5050505050505,308.57273539545656,306.50775507950925
430.6060606060606,308.57104518928685,306.50790147217907
430.7070707070707,308.56935647210867,306.50804773515546
430.80808080808083,308.5676692426789,306.5081938685482
430.90909090909093,308.565983499756,306.5083398724669
431.010101010101,308.5642992420997,306.508485747021
431.1111111111111,308.5626164684717,306.50863149231975
431.2121212121212,308.56093517763486,306.5087771084725
431.3131313131313,308.5592553683539,306.50892259558816
431.4141414141414,308.55757703939486,306.5090679537756
431.5151515151515,308.5559001895256,306.50921318314374
431.6161616161616,308.5542248175153,306.509358283801
431.7171717171717,308.5525509221348,306.50950325585586
431.8181818181818,308.55087850215654,306.5096480994168
431.9191919191919,308.54920755635436,306.5097928145918
432.020202020202,308.54753808350387,306.50993740148897
432.1212121212121,308.545870082382,306.51008186021625
432.22222222222223,308.5442035517675,306.51022619088127
432.32323232323233,308.5425384904405,306.51037039359176
432.42424242424244,308.54087489718273,306.5105144684551
432.52525252525254,308.5392127707774,306.51065841557863
432.62626262626264,308.53755211000947,306.5108022350696
432.72727272727275,308.5358929136653,306.51094592703487
432.82828282828285,308.5342351805328,306.5110894915815
432.92929292929296,308.5325789094016,306.5112329288162
433.030303030303,308.5309240990626,306.51137623884546
433.1313131313131,308.52927074830865,306.51151942177586
433.2323232323232,308.5276188559337,306.51166247771374
433.3333333333333,308.5259684207337,306.5118054067651
433.4343434343434,308.5243194415059,306.51194820903623
433.5353535353535,308.5226719170491,306.51209088463287
433.6363636363636,308.52102584616375,306.5122334336607
433.73737373737373,308.5193812276518,306.5123758562254
433.83838383838383,308.5177380603169,306.5125181524325
433.93939393939394,308.516096342964,306.5126603223872
434.04040404040404,308.5144560743998,306.51280236619476
434.14141414141415,308.5128172534325,306.51294428396017
434.24242424242425,308.51117987887187,306.5130860757883
434.34343434343435,308.50954394952925,306.51322774178396
434.44444444444446,308.5079094642175,306.5133692820517
434.54545454545456,308.506276421751,306.5135106966961
434.64646464646466,308.50464482094577,306.51365198582124
434.74747474747477,308.5030146606195,306.51379314953147
434.8484848484849,308.5013859395911,306.5139341879308
434.949494949495,308.49975865668125,306.5140751011231
435.050505050505,308.4981328107124,306.5142158892121
435.1515151515151,308.496508400508,306.5143565523014
435.25252525252523,308.4948854248936,306.51449709049456
435.35353535353534,308.49326388269606,306.5146375038948
435.45454545454544,308.49164377274377,306.5147777926053
435.55555555555554,308.49002509386673,306.5149179567291
435.65656565656565,308.48840784489664,306.5150579963691
435.75757575757575,308.48679202466656,306.515197911628
