Roughness;Roughness;
x;y;
[m];[m];
3.2263834e-06;-1.9885499e-10;
3.2459372e-06;-1.5245438e-10;
3.2654911e-06;2.0063581e-11;
3.2850449e-06;-1.0586529e-10;
3.3045987e-06;-1.366132e-10;
3.3241526e-06;-4.3589415e-11;
3.3437064e-06;-3.9615122e-12;
3.3632603e-06;-7.4298953e-11;
3.3828141e-06;-3.1475371e-10;
3.4023679e-06;-4.4764591e-10;
3.4219218e-06;-2.5584803e-10;
3.4414756e-06;-5.8546983e-11;
3.4610294e-06;-7.2140144e-11;
3.4805833e-06;-1.909504e-10;
3.5001371e-06;-2.8060575e-10;
3.519691e-06;1.9632286e-11;
3.5392448e-06;2.4952647e-11;
3.5587986e-06;3.7506559e-11;
3.5783525e-06;2.3877395e-10;
3.5979063e-06;4.7089541e-10;
3.6174602e-06;4.153834e-10;
3.637014e-06;2.2314014e-10;
3.6565678e-06;2.8314145e-11;
3.6761217e-06;-4.5490414e-11;
3.6956755e-06;-1.6452547e-10;
3.7152293e-06;-8.5914477e-11;
3.7347832e-06;-4.1249209e-11;
3.754337e-06;2.3597596e-11;
3.7738909e-06;2.5248307e-10;
3.7934447e-06;3.9526895e-10;
3.8129985e-06;4.9282105e-10;
3.8325524e-06;4.0230609e-10;
3.8521062e-06;1.3236928e-10;
3.8716601e-06;7.9132803e-12;
3.8912139e-06;2.889381e-11;
3.9107677e-06;1.1915653e-10;
3.9303216e-06;2.3508255e-10;
3.9498754e-06;6.4426135e-11;
3.9694293e-06;1.4090652e-11;
3.9889831e-06;-4.1903361e-12;
4.0085369e-06;-3.8874119e-11;
4.0280908e-06;-1.6085669e-10;
4.0476446e-06;-1.024426e-10;
4.0671984e-06;-1.3371363e-10;
4.0867523e-06;-3.3343715e-10;
4.1063061e-06;-5.5441779e-10;
4.12586e-06;-6.5273725e-10;
4.1454138e-06;-4.3561628e-10;
4.1649676e-06;-2.5407802e-10;
4.1845215e-06;-3.3520933e-10;
4.2040753e-06;-3.2771318e-10;
4.2236292e-06;-2.4579992e-10;
4.243183e-06;-1.6677676e-10;
4.2627368e-06;-3.0506082e-10;
4.2822907e-06;-3.2558462e-10;
4.3018445e-06;-1.1636013e-10;
4.3213983e-06;-7.0179042e-11;
4.3409522e-06;-4.0529519e-11;
4.360506e-06;-6.0813026e-11;
4.3800599e-06;1.1666217e-10;
4.3996137e-06;1.4387192e-10;
4.4191675e-06;1.5830392e-10;
4.4387214e-06;4.3833242e-11;
4.4582752e-06;3.497631e-12;
4.4778291e-06;-1.5889304e-11;
4.4973829e-06;-3.4203599e-11;
4.5169367e-06;1.4214388e-10;
4.5364906e-06;2.9122788e-10;
4.5560444e-06;3.066433e-10;
4.5755983e-06;3.8009969e-10;
4.5951521e-06;4.5904422e-10;
4.6147059e-06;2.449118e-10;
4.6342598e-06;1.4296315e-10;
4.6538136e-06;1.4988033e-10;
4.6733674e-06;8.7923683e-11;
4.6929213e-06;6.2189958e-11;
4.7124751e-06;6.7604956e-11;
4.732029e-06;1.6490892e-10;
4.7515828e-06;3.3034052e-10;
4.7711366e-06;6.0256239e-10;
4.7906905e-06;8.0456065e-10;
4.8102443e-06;7.5612277e-10;
4.8297982e-06;4.889238e-10;
4.849352e-06;2.1461743e-10;
4.8689058e-06;7.7436017e-11;
4.8884597e-06;1.813436e-11;
4.9080135e-06;3.7644136e-11;
4.9275673e-06;-2.4083334e-11;
4.9471212e-06;8.8884111e-11;
4.966675e-06;2.6429222e-10;
4.9862289e-06;1.2454645e-10;
5.0057827e-06;-9.6557478e-11;
5.0253365e-06;-6.9915912e-12;
5.0448904e-06;-1.4492408e-10;
5.0644442e-06;-5.9635512e-10;
5.0839981e-06;-7.8719136e-10;
5.1035519e-06;-7.6697418e-10;
5.1231057e-06;-6.4841611e-10;
5.1426596e-06;-5.2011871e-10;
5.1622134e-06;-3.2426502e-10;
5.1817672e-06;-3.8168033e-10;
5.2013211e-06;-3.6490446e-10;
5.2208749e-06;-2.0607795e-10;
5.2404288e-06;-2.3280919e-10;
5.2599826e-06;-2.9611209e-10;
5.2795364e-06;-3.5974639e-10;
5.2990903e-06;-4.0865767e-10;
5.3186441e-06;-2.7225976e-10;
5.338198e-06;-2.2280293e-10;
5.3577518e-06;-1.2207821e-10;
5.3773056e-06;-1.6877358e-11;
5.3968595e-06;2.0120266e-10;
5.4164133e-06;1.2183305e-10;
5.4359672e-06;9.5461719e-11;
5.455521e-06;6.9466468e-11;
5.4750748e-06;5.2258249e-10;
5.4946287e-06;7.1942196e-10;
5.5141825e-06;5.9441146e-10;
5.5337363e-06;4.9297786e-10;
