Roughness;Roughness;
x;y;
[m];[m];
1.3211954e-05;5.7319916e-10;
1.3251043e-05;6.9606888e-10;
1.3290131e-05;9.5019503e-10;
1.332922e-05;1.2053478e-09;
1.3368309e-05;1.2326276e-09;
1.3407397e-05;1.3838256e-09;
1.3446486e-05;1.3395025e-09;
1.3485574e-05;1.4629984e-09;
1.3524663e-05;1.4265611e-09;
1.3563752e-05;1.4073384e-09;
1.360284e-05;1.2556633e-09;
1.3641929e-05;1.3165073e-09;
1.3681018e-05;1.1677463e-09;
1.3720106e-05;9.8072613e-10;
1.3759195e-05;1.0122912e-09;
1.3798283e-05;8.4421205e-10;
1.3837372e-05;6.9300967e-10;
1.3876461e-05;6.3750811e-10;
1.3915549e-05;5.4732205e-10;
1.3954638e-05;5.6833672e-10;
1.3993726e-05;5.1980669e-10;
1.4032815e-05;4.0501018e-10;
1.4071904e-05;3.4730381e-10;
1.4110992e-05;3.1169967e-10;
1.4150081e-05;2.6619111e-10;
1.418917e-05;9.0374807e-11;
1.4228258e-05;-5.5285507e-11;
1.4267347e-05;-7.7925659e-11;
1.4306435e-05;-2.0740731e-10;
1.4345524e-05;-3.2301171e-10;
1.4384613e-05;-2.976615e-10;
1.4423701e-05;-3.4533592e-10;
1.446279e-05;-4.0395065e-10;
1.4501879e-05;-4.6830232e-10;
1.4540967e-05;-5.3236547e-10;
1.4580056e-05;-6.7976837e-10;
1.4619144e-05;-8.0306686e-10;
1.4658233e-05;-8.1406067e-10;
1.4697322e-05;-7.9574361e-10;
1.473641e-05;-8.7089463e-10;
1.4775499e-05;-9.5402799e-10;
1.4814588e-05;-7.9993542e-10;
1.4853676e-05;-8.0101242e-10;
1.4892765e-05;-7.7148179e-10;
1.4931853e-05;-5.2406929e-10;
1.4970942e-05;-4.613132e-10;
1.5010031e-05;-3.5589908e-10;
1.5049119e-05;-3.148726e-10;
1.5088208e-05;-2.9785104e-10;
1.5127297e-05;-2.0044034e-10;
1.5166385e-05;7.9378408e-12;
1.5205474e-05;-6.7952173e-11;
1.5244562e-05;-4.3794252e-11;
1.5283651e-05;3.7099033e-11;
1.532274e-05;-7.5268767e-11;
1.5361828e-05;-2.5252541e-10;
1.5400917e-05;-3.3800505e-10;
1.5440005e-05;-3.922427e-10;
1.5479094e-05;-4.5685371e-10;
1.5518183e-05;-5.4146794e-10;
1.5557271e-05;-5.5367157e-10;
1.559636e-05;-6.1229158e-10;
1.5635449e-05;-7.1286245e-10;
1.5674537e-05;-6.963677e-10;
1.5713626e-05;-7.1116833e-10;
1.5752714e-05;-6.3999113e-10;
1.5791803e-05;-4.9980651e-10;
1.5830892e-05;-4.0945949e-10;
1.586998e-05;-3.2821436e-10;
1.5909069e-05;-3.2275449e-10;
1.5948158e-05;-2.6983218e-10;
1.5987246e-05;-1.0778038e-10;
1.6026335e-05;5.0081234e-11;
1.6065423e-05;2.4501993e-10;
1.6104512e-05;4.2275987e-10;
1.6143601e-05;7.2073334e-10;
1.6182689e-05;7.2810534e-10;
1.6221778e-05;9.0472041e-10;
1.6260867e-05;8.4780729e-10;
1.6299955e-05;7.4268559e-10;
1.6339044e-05;7.182146e-10;
1.6378132e-05;7.2916644e-10;
1.6417221e-05;6.8418209e-10;
1.645631e-05;7.0216946e-10;
1.6495398e-05;6.0853128e-10;
1.6534487e-05;4.773926e-10;
1.6573576e-05;2.7005398e-10;
1.6612664e-05;2.8387655e-10;
1.6651753e-05;1.0482304e-10;
1.6690841e-05;2.3210427e-10;
1.672993e-05;1.2636793e-10;
1.6769019e-05;1.8916798e-10;
1.6808107e-05;1.4541421e-10;
1.6847196e-05;1.9232518e-10;
1.6886284e-05;1.502331e-10;
1.6925373e-05;1.8385144e-10;
1.6964462e-05;2.2642345e-10;
1.700355e-05;3.0371417e-10;
1.7042639e-05;3.7967471e-10;
1.7081728e-05;3.3938219e-10;
1.7120816e-05;3.6465702e-10;
1.7159905e-05;3.9003981e-10;
1.7198993e-05;3.8280798e-10;
1.7238082e-05;4.6518653e-10;
1.7277171e-05;4.8541739e-10;
1.7316259e-05;5.9307802e-10;
1.7355348e-05;7.0699264e-10;
1.7394437e-05;8.0805336e-10;
1.7433525e-05;9.0392218e-10;
1.7472614e-05;8.3981059e-10;
1.7511702e-05;7.1003525e-10;
1.7550791e-05;7.1776373e-10;
1.758988e-05;6.8715094e-10;
1.7628968e-05;5.7541265e-10;
1.7668057e-05;4.9361163e-10;
1.7707146e-05;3.3626846e-10;
1.7746234e-05;1.3706909e-10;
1.7785323e-05;3.7049604e-12;
1.7824411e-05;-1.5541529e-10;
1.78635e-05;-2.7957107e-10;
1.7902589e-05;-4.7333171e-10;
1.7941677e-05;-5.6793895e-10;
1.7980766e-05;-7.0821117e-10;
1.8019854e-05;-7.7371419e-10;
1.8058943e-05;-8.7655503e-10;
1.8098032e-05;-9.0893619e-10;
1.813712e-05;-1.1906082e-09;
1.8176209e-05;-1.2802836e-09;
1.8215298e-05;-1.5306436e-09;
1.8254386e-05;-1.4645657e-09;
1.8293475e-05;-1.4525019e-09;
1.8332563e-05;-1.3880294e-09;
