step_center,step_sigma,slow_amplitude,slow_decay,fast_amplitude,fast_decay,filename,label,temperature
-3.5746921482556987e-14,6.032063737393401e-14,-0.0006331418222043084,2.5074741336438198,-0.00014710522821204108,0.056121315204797684,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake2_30AVG_1Windows_12Harm_001,flake2,150
-2.6407666822912877e-14,3.529898595644454e-14,-0.0006339821046381644,3.1459125996460386,-0.00017374828275329435,0.06485550733587919,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake2_30AVG_1Windows_12Harm_001,flake2,60
-3.29672249259302e-14,5.734746011398783e-14,-0.0005475444726528167,3.424114975251882,-0.0001567446373975656,0.05309447161124292,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake19_30AVG_1Windows_12Harm_001,flake19,150
-2.830289539262807e-14,4.067746139924111e-14,-0.000695520456567067,2.1207513724408042,-0.00008116917962119885,0.06273033476740975,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake8_30AVG_1Windows_12Harm_001,flake8,150
-2.0239919969448477e-14,2.947031507716247e-14,-0.0006881888896064225,2.5804406215659843,-0.00008319849830407122,0.027962735722360854,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake14_30AVG_1Windows_12Harm_001,flake14,350
-2.3329665232057474e-14,3.2947533590288457e-14,-0.000545517423924835,1.9672704108127248,-0.00007642477380009893,0.10577865438008893,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake11_30AVG_1Windows_12Harm_001,flake11,550
-3.086161110521501e-14,1.4354073485378648e-14,-0.00017500027407990615,0.7134109980061798,-0.00016615849015977346,0.12378976206633241,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flakeaftersonication1_30AVG_1Windows_12Harm_001,flakeaftersonication1,750
-5.972189327796397e-14,6.428635401789506e-14,-0.0004677891045847815,2.6559070022429996,-0.00013854435195526094,0.13589286439206738,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flakeaftersonication6_30AVG_1Windows_12Harm_001,flakeaftersonication6,750
-1.75629869041661e-14,2.0873303085977567e-14,-0.0005431328893923393,3.5536809364458932,-0.0001465048066773278,0.0837408841000773,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake3_30AVG_1Windows_12Harm_001,flake3,550
-2.7597653150162125e-14,3.7405079034158464e-14,-0.0007322982694546454,0.8225684440362242,-0.000026464171847706552,0.04054224135545392,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flakeaftersonication7_30AVG_1Windows_12Harm_001,flakeaftersonication7,750
-2.1594402235797936e-14,3.8684611070038954e-14,-0.0006786109113008365,4.120910315568561,-0.00012966541059356018,0.0176929834571542,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake19_30AVG_1Windows_12Harm_001,flake19,350
-1.609729458520741e-14,2.834676937624181e-14,-0.0005769314595713837,2.362441281672653,-0.00012297031684660453,0.01999065878739059,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake4_30AVG_1Windows_12Harm_001,flake4,350
-2.8870820395850237e-14,4.254763208422219e-14,-0.0006644975467775538,2.6306943099846563,-0.00015697318487539746,0.05363943272422467,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake13_30AVG_1Windows_12Harm_001,flake13,60
-7.602795829879699e-15,1.5143442055887136e-14,-0.0004707538554242774,3.82625595670055,-0.00014545613800187596,0.010073892154095265,Mattias_FM308-SRO_60degSTAMP_350deg1hr_doubleflake1_30AVG_1Windows_12Harm_001,doubleflake1,350
-2.955482242524158e-14,4.3149372963569025e-14,-0.0006834785602727322,2.549658398232509,-0.000093513081923291,0.06800862067914104,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake3_30AVG_1Windows_12Harm_001,flake3,150
-2.6246601674960234e-14,6.169009747480913e-14,-0.0003574386515303729,19.929551281741674,-0.0002509549679938772,0.026346171785723405,Mattias_FM308-SRO_60degSTAMP_NoHeat_doubleflake2_30AVG_1Windows_12Harm_001,doubleflake2,60
-2.7704495283818576e-14,4.4556580647281406e-14,-0.000685372635610193,2.7430358156252743,-0.00013385762682460722,0.03434134171683145,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake1_30AVG_1Windows_12Harm_001,flake1,150
-2.4522801382015625e-14,3.640088230838501e-14,-0.0006575125679493254,3.4856952020531455,-0.00014491750137146653,0.041024482926616423,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake8_30AVG_1Windows_12Harm_001,flake8,60
-2.5125795092773143e-14,3.540223669773468e-14,-0.0005823454714430909,2.272914194239439,-0.00011293339946405467,0.07597604417291404,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake16_30AVG_1Windows_12Harm_001,flake16,60
-2.7844485180017457e-14,4.751421478488283e-14,-0.000624769650695356,2.9207612231085207,-0.00015994304075839239,0.034295076742344444,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake20_30AVG_1Windows_12Harm_001,flake20,150
-2.1950240197913038e-14,2.7178814754336145e-14,-0.0006944515125422157,2.887153433800205,-0.0001155701970638745,0.0894096075081896,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake1_30AVG_1Windows_12Harm_001,flake1,60
-3.171258195165449e-14,5.066058683667052e-14,-0.0006909616828973952,3.2633812423297246,-0.00015342967330589374,0.044407794649439,Mattias_FM308-SRO_60degSTAMP_NoHeat_flake19_30AVG_1Windows_12Harm_001,flake19,60
-2.0218017095367716e-14,2.5643931422791868e-14,-0.0004739027431739373,6.352901745072914,-0.00023993990633996987,0.2089606107271058,Mattias_FM308-SRO_60degSTAMP_550deg1hr_flake5_30AVG_1Windows_12Harm_001,flake5,550
-3.833911507223394e-14,6.643519068205705e-14,-0.0005260663283124245,0.8063936258155335,-0.0002147695303111874,0.05572763472874542,Mattias_FM308-SRO_60degSTAMP_150deg1hr_doubleflake3_30AVG_1Windows_12Harm_001,doubleflake3,150
-1.778427491841769e-14,2.227329432002989e-14,-0.0005181699124445771,2.43250091115884,-0.00011438519924134027,0.14841874344654538,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flakeaftersonication10_30AVG_1Windows_12Harm_001,flakeaftersonication10,750
-2.3808964163884994e-14,3.189282171689456e-14,-0.0006769788964948731,2.793026113153891,-0.00008489259900912316,0.07326467678635962,Mattias_FM308-SRO_60degSTAMP_350deg1hr_flake20_30AVG_1Windows_12Harm_001,flake20,350
-1.7077621390021447e-14,2.0295432001660175e-14,-0.0005988812338912908,1.3660669865134523,-0.00009054631043170502,0.08985773840488531,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flakeaftersonication8_30AVG_1Windows_12Harm_SINGLEDIODE,flakeaftersonication8,750
-1.9615918915156765e-14,2.465638804238779e-14,-0.0005184182260631331,3.603764943609358,-0.00016464574361485518,0.17056131975159183,Mattias_FM308-SRO_60degSTAMP_750deg1hr_flakeaftersonication9_30AVG_1Windows_12Harm_001,flakeaftersonication9,750
-3.212935712993682e-14,4.9124038170589304e-14,-0.0005824437933821258,3.0371130940821063,-0.0001660043159272817,0.06907502016888656,Mattias_FM308-SRO_60degSTAMP_150deg1hr_flake12_30AVG_1Windows_12Harm_001,flake12,150
