variable,value,stderr,label,temperature
step_x0,-0.001300000000010604,0.0,flake10,150
step_sigma,0.0006,0.0,flake10,150
osc1_amplitude,3.6367101020434382e-6,6.94185395285244e-7,flake10,150
osc1_frequency,47.3,0.0,flake10,150
osc1_decay,0.29704926211765004,0.08528846925658111,flake10,150
osc1_phase,-1.6664735249715126,0.12948675101954066,flake10,150
osc1_x0,-0.001300000000010604,0.0,flake10,150
osc2_amplitude,0.00017504169366069688,1.0255124501976736e-6,flake10,150
osc2_frequency,77.54012648018278,0.009648914466279416,flake10,150
osc2_decay,0.13213607335717653,0.001073153319764438,flake10,150
osc2_phase,0.21084312512656925,0.005699560480622342,flake10,150
osc2_x0,-0.001300000000010604,0.0,flake10,150
osc32_ratio,0.07911706559588003,0.01554937124480613,flake10,150
